genreid,movieid,userid,rating,timestamp,name
5,1,5,1,857911264,Comedy
5,1,14,3,1133572007,Comedy
5,1,18,3,1111545931,Comedy
5,1,23,5,849543482,Comedy
5,1,24,5,868254237,Comedy
5,1,30,5,876526432,Comedy
5,1,33,4,849544161,Comedy
5,1,34,3,981560889,Comedy
5,1,35,3,1133601653,Comedy
5,1,36,4,1049770839,Comedy
5,1,43,4,912611519,Comedy
5,1,47,3,1162149908,Comedy
5,1,56,5,1162155272,Comedy
5,1,57,4,868259588,Comedy
5,1,58,4,951028439,Comedy
5,1,64,4,858445408,Comedy
5,1,65,3,970837159,Comedy
5,1,76,4,834876668,Comedy
5,1,77,4,832198027,Comedy
5,1,83,3,849547082,Comedy
5,1,84,3,868260846,Comedy
5,1,85,3,941537871,Comedy
5,1,88,5,1084225319,Comedy
5,1,90,5,857915096,Comedy
5,1,91,3,948232063,Comedy
5,3,24,3,868254301,Comedy
5,3,27,3,857911446,Comedy
5,3,30,4,876526953,Comedy
5,3,34,4,981826221,Comedy
5,3,36,3,1049773974,Comedy
5,3,43,5,912612343,Comedy
5,3,56,3,1162155101,Comedy
5,3,57,4,868259640,Comedy
5,3,60,3,857913831,Comedy
5,3,64,3,857914274,Comedy
5,3,75,1,1162160236,Comedy
5,3,76,2,834877040,Comedy
5,3,83,3,849547146,Comedy
5,3,90,5,857915212,Comedy
5,4,10,3,941544628,Comedy
5,4,43,1,912611414,Comedy
5,4,65,3,970837283,Comedy
5,5,8,3,1116550582,Comedy
5,5,12,3,962591195,Comedy
5,5,18,1,1111546337,Comedy
5,5,19,3,877088900,Comedy
5,5,24,4,868254301,Comedy
5,5,34,3,981826108,Comedy
5,5,43,5,912612991,Comedy
5,5,57,4,868259640,Comedy
5,5,83,3,849547127,Comedy
5,5,84,3,868260939,Comedy
5,7,5,3,857911357,Comedy
5,7,10,3,941545434,Comedy
5,7,18,3,1111546250,Comedy
5,7,23,3,849543519,Comedy
5,7,24,4,868254354,Comedy
5,7,33,3,849544326,Comedy
5,7,43,5,912611794,Comedy
5,7,51,2,942230135,Comedy
5,7,57,4,868259691,Comedy
5,7,60,1,857913832,Comedy
5,7,77,3,834658955,Comedy
5,7,84,3,868260999,Comedy
5,11,18,3,1111545346,Comedy
5,11,30,5,876529032,Comedy
5,11,36,2,1049771814,Comedy
5,11,43,5,912611709,Comedy
5,11,51,3,942230135,Comedy
5,11,54,1,844425267,Comedy
5,11,65,3,970393306,Comedy
5,11,79,3,844424264,Comedy
5,12,27,2,857911972,Comedy
5,12,57,4,868259846,Comedy
5,12,83,2,849547258,Comedy
5,12,90,3,857915520,Comedy
5,17,10,4,941527854,Comedy
5,17,18,4,1111546079,Comedy
5,17,19,5,877080437,Comedy
5,17,23,5,849543499,Comedy
5,17,24,5,868254240,Comedy
5,17,30,5,876526367,Comedy
5,17,33,4,849544204,Comedy
5,17,43,5,912609923,Comedy
5,17,44,5,948217993,Comedy
5,17,51,5,941539690,Comedy
5,17,57,3,868259589,Comedy
5,17,60,5,857913771,Comedy
5,17,64,3,858445409,Comedy
5,17,65,4,950878980,Comedy
5,17,69,4,1000138226,Comedy
5,17,73,4,974300816,Comedy
5,17,78,4,1097415295,Comedy
5,17,84,4,868260847,Comedy
5,18,36,4,1049944157,Comedy
5,18,57,3,868259995,Comedy
5,19,8,4,1115859653,Comedy
5,19,22,1,838983432,Comedy
5,19,26,1,844421042,Comedy
